tahun	kdprov	urprov	kdpemda	urpemda	kdakun	urakun	kdkelompok	urkelompok	kdjenis	urjenis	kdobjek	urobjek	nilai
2023	00	Nasional	00	Nasional	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	2000000000000
2023	01	Provinsi Aceh	01	Kab. Aceh Barat	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	224045853000
2023	01	Provinsi Aceh	02	Kab. Aceh Besar	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	422285475000
2023	01	Provinsi Aceh	03	Kab. Aceh Selatan	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	195811103000
2023	01	Provinsi Aceh	04	Kab. Aceh Singkil	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	92832222000
2023	01	Provinsi Aceh	05	Kab. Aceh Tengah	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	212942662000
2023	01	Provinsi Aceh	06	Kab. Aceh Tenggara	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	270051986000
2023	01	Provinsi Aceh	07	Kab. Aceh Timur	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	376847461000
2023	01	Provinsi Aceh	08	Kab. Aceh Utara	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	620592204000
2023	01	Provinsi Aceh	09	Kab. Bireuen	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	446168583000
2023	01	Provinsi Aceh	10	Kab. Pidie	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	525206131000
2023	01	Provinsi Aceh	11	Kab. Simeulue	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	101844034000
2023	01	Provinsi Aceh	12	Kota Banda Aceh	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	73484769000
2023	01	Provinsi Aceh	13	Kota Sabang	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	15014733000
2023	01	Provinsi Aceh	14	Kota Langsa	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	56545740000
2023	01	Provinsi Aceh	15	Kota Lhokseumawe	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	59732506000
2023	01	Provinsi Aceh	16	Kab. Gayo Lues	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	105937563000
2023	01	Provinsi Aceh	17	Kab. Aceh Barat Daya	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	113155818000
2023	01	Provinsi Aceh	18	Kab. Aceh Jaya	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	121957443000
2023	01	Provinsi Aceh	19	Kab. Nagan Raya	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	165760447000
2023	01	Provinsi Aceh	20	Kab. Aceh Tamiang	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	166158308000
2023	01	Provinsi Aceh	21	Kab. Bener Meriah	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	164707235000
2023	01	Provinsi Aceh	22	Kab. Pidie Jaya	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	163021845000
2023	01	Provinsi Aceh	23	Kota Subulussalam	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	66956755000
2023	02	Provinsi Sumatera Utara	01	Kab. Asahan	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	168778464000
2023	02	Provinsi Sumatera Utara	02	Kab. Dairi	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	131686562000
2023	02	Provinsi Sumatera Utara	03	Kab. Deli Serdang	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	339139699000
2023	02	Provinsi Sumatera Utara	04	Kab. Karo	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	197014863000
2023	02	Provinsi Sumatera Utara	05	Kab. Labuhanbatu	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	75441232000
2023	02	Provinsi Sumatera Utara	06	Kab. Langkat	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	236620647000
2023	02	Provinsi Sumatera Utara	07	Kab. Mandailing Natal	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	296235720000
2023	02	Provinsi Sumatera Utara	08	Kab. Nias	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	143305742000
2023	02	Provinsi Sumatera Utara	09	Kab. Simalungun	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	330739159000
2023	02	Provinsi Sumatera Utara	10	Kab. Tapanuli Selatan	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	158866300000
2023	02	Provinsi Sumatera Utara	11	Kab. Tapanuli Tengah	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	138507142000
2023	02	Provinsi Sumatera Utara	12	Kab. Tapanuli Utara	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	193031650000
2023	02	Provinsi Sumatera Utara	13	Kab. Toba	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	169156030000
2023	02	Provinsi Sumatera Utara	20	Kota Padang Sidempuan	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	31758246000
2023	02	Provinsi Sumatera Utara	21	Kab. Pakpak Bharat	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	39204342000
2023	02	Provinsi Sumatera Utara	22	Kab. Nias Selatan	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	390238162000
2023	02	Provinsi Sumatera Utara	23	Kab. Humbang Hasundutan	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	123002107000
2023	02	Provinsi Sumatera Utara	24	Kab. Serdang Bedagai	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	201500768000
2023	02	Provinsi Sumatera Utara	25	Kab. Samosir	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	98627054000
2023	02	Provinsi Sumatera Utara	26	Kab. Batu Bara	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	131874953000
2023	02	Provinsi Sumatera Utara	27	Kab. Padang Lawas	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	227794661000
2023	02	Provinsi Sumatera Utara	28	Kab. Padang Lawas Utara	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	284914319000
2023	02	Provinsi Sumatera Utara	29	Kab. Labuhanbatu Selatan	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	58057565000
2023	02	Provinsi Sumatera Utara	30	Kab. Labuhanbatu Utara	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	87414111000
2023	02	Provinsi Sumatera Utara	31	Kab. Nias Utara	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	111172780000
2023	02	Provinsi Sumatera Utara	32	Kab. Nias Barat	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	95262490000
2023	02	Provinsi Sumatera Utara	33	Kota Gunungsitoli	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	83038051000
2023	03	Provinsi Sumatera Barat	01	Kab. Limapuluh Kota	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	81711280000
2023	03	Provinsi Sumatera Barat	02	Kab. Agam	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	84104994000
2023	03	Provinsi Sumatera Barat	03	Kab. Kepulauan Mentawai	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	44893091000
2023	03	Provinsi Sumatera Barat	04	Kab. Padang Pariaman	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	98437001000
2023	03	Provinsi Sumatera Barat	05	Kab. Pasaman	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	46503704000
2023	03	Provinsi Sumatera Barat	06	Kab. Pesisir Selatan	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	159593945000
2023	03	Provinsi Sumatera Barat	07	Kab. Sijunjung	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	60553951000
2023	03	Provinsi Sumatera Barat	08	Kab. Solok	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	78076918000
2023	03	Provinsi Sumatera Barat	09	Kab. Tanah Datar	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	71836193000
