tahun	kdprov	urprov	kdpemda	urpemda	kdakun	urakun	kdkelompok	urkelompok	kdjenis	urjenis	kdobjek	urobjek	nilai
2023	10	Provinsi Jawa Barat	12	Kab. Purwakarta	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	190526939200
2023	11	Provinsi Jawa Tengah	01	Kab. Banjarnegara	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	285008401000
2023	11	Provinsi Jawa Tengah	05	Kab. Boyolali	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	265842691000
2023	11	Provinsi Jawa Tengah	10	Kab. Jepara	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	212555731000
2023	20	Provinsi Sulawesi Selatan	02	Kab. Barru	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	38739622000
2023	20	Provinsi Sulawesi Selatan	10	Kab. Maros	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	78490716000
2023	22	Provinsi Bali	01	Kab. Badung	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	47887856200
2023	24	Provinsi Nusa Tenggara Timur	10	Kab. Sumba Barat	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	59750038000
2023	27	Provinsi Maluku Utara	04	Kab. Halmahera Timur	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	90059876200
2023	30	Provinsi Gorontalo	02	Kab. Gorontalo	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	168040351000
2023	32	Provinsi Papua Barat	12	Kab. Manokwari Selatan	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	49740256000
2024	01	Provinsi Aceh   	04	Kab. Aceh Singkil	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	46825667600
2024	01	Provinsi Aceh   	12	Kota Banda Aceh	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	52726038800
2024	01	Provinsi Aceh   	20	Kab. Aceh Tamiang	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	91398556000
2024	01	Provinsi Aceh   	21	Kab. Bener Meriah	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	113466001800
2024	01	Provinsi Aceh   	22	Kab. Pidie Jaya	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	163748709000
2024	02	Provinsi Sumatera Utara                           	09	Kab. Simalungun	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	165584705200
2024	03	Provinsi Sumatera Barat                           	19	Kab. Solok Selatan	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	22674213800
2024	04	Provinsi Riau                                     	08	Kab. Rokan Hulu	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	70126574600
2024	10	Provinsi Jawa Barat                               	14	Kab. Sukabumi	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	237806033200
2024	13	Provinsi Jawa Timur                               	20	Kab. Pasuruan	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	193275916800
2024	13	Provinsi Jawa Timur                               	25	Kab. Situbondo	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	80514992000
2024	14	Provinsi Kalimantan Barat                         	03	Kab. Kapuas Hulu	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	132028952200
2024	15	Provinsi Kalimantan Tengah                        	01	Kab. Barito Selatan	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	34960837800
2024	19	Provinsi Sulawesi Tengah                          	10	Kab. Tojo Una Una	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	74793665800
2024	19	Provinsi Sulawesi Tengah                          	13	Kab. Morowali Utara	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	60588398200
2024	21	Provinsi Sulawesi Tenggara                        	04	Kab. Muna	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	66065377400
2024	21	Provinsi Sulawesi Tenggara                        	15	Kab. Muna Barat	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	33632729600
2024	22	Provinsi Bali                                     	05	Kab. Jembrana	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	24928301600
2024	23	Provinsi Nusa Tenggara Barat                      	09	Kab. Sumbawa Barat	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	38637774600
